year,round_number,total_matches,matches_without_changes,matches_with_one_change,matches_with_multiple_changes,unknown_results,malformed_matches,total_snapshots
2010,1,13,10,3,0,0,0,16
2010,2,20,14,6,0,0,0,26
2010,3,23,21,2,0,0,0,25
2010,4,8,6,2,0,0,0,10
2010,5,30,25,5,0,0,0,35
2010,6,9,7,2,0,0,0,11
2010,7,24,20,4,0,0,0,28
2010,8,10,7,3,0,0,0,13
2010,9,28,22,6,0,0,0,34
2010,10,5,5,0,0,0,0,5
2010,11,32,27,5,0,0,0,37
2010,12,10,5,5,0,0,0,15
2010,13,22,16,6,0,0,0,28
2010,14,18,11,7,0,0,0,25
2010,15,28,25,3,0,0,0,31
2010,16,24,18,6,0,0,0,30
2010,17,36,36,0,0,0,0,36
2010,18,31,29,2,0,0,0,33
2010,19,33,30,3,0,0,0,36
2010,20,14,12,2,0,0,0,16
2010,21,34,31,3,0,0,0,37
2010,22,10,9,1,0,0,0,11
2010,23,35,31,4,0,0,0,39
2010,24,26,22,4,0,0,0,30
2010,25,35,32,3,0,0,0,38
2010,26,9,5,4,0,0,0,13
2010,27,37,32,5,0,0,0,42
2010,28,7,5,2,0,0,0,9
2010,29,33,28,5,0,0,0,38
2010,30,13,11,2,0,0,0,15
2010,31,34,30,4,0,0,0,38
2010,32,5,5,0,0,0,0,5
2010,33,36,35,1,0,0,0,37
2010,34,6,6,0,0,0,0,6
2010,35,35,32,3,0,0,0,38
2010,36,16,11,5,0,0,0,21
2010,37,36,31,5,0,0,0,41
2010,38,3,3,0,0,0,0,3
2010,39,22,18,4,0,0,0,26
2010,40,3,1,2,0,0,0,5
2010,41,7,1,6,0,0,0,13
2010,42,12,11,1,0,0,0,13
2010,43,19,15,4,0,0,0,23
2010,44,14,9,5,0,0,0,19
2010,45,14,9,5,0,0,0,19
2010,46,0,0,0,0,0,0,0
2010,47,6,3,3,0,0,0,9
2010,48,6,4,2,0,0,0,8
2010,49,6,2,4,0,0,0,10
2010,50,8,2,6,0,0,0,14
2010,51,4,0,4,0,0,0,8
2010,52,2,0,2,0,0,0,4
2010,53,4,1,3,0,0,0,7
2010,54,2,0,2,0,0,0,4
2010,55,4,1,3,0,0,0,7
2010,56,4,2,2,0,0,0,6
2010,57,6,3,3,0,0,1,9
2010,58,5,1,4,0,0,0,9
2010,59,8,3,5,0,0,0,13
2010,60,2,1,1,0,0,0,3
2010,61,7,2,5,0,0,0,12
2010,62,0,0,0,0,0,0,0
2010,63,7,3,4,0,0,0,11
2010,64,21,16,5,0,0,0,26
2010,65,16,5,11,0,0,0,27
2010,66,4,1,3,0,0,0,7
2010,67,18,11,7,0,0,0,25
2010,68,1,1,0,0,0,0,1
2010,69,35,26,9,0,0,0,44
2010,70,2,1,1,0,0,0,3
2010,71,11,3,8,0,0,0,19
2010,72,0,0,0,0,0,0,0
2010,73,33,27,6,0,0,0,39
2010,74,35,31,4,0,0,0,39
2010,75,35,25,10,0,0,0,45
2010,76,24,20,4,0,0,0,28
2010,77,36,30,6,0,0,0,42
2010,78,33,30,3,0,0,0,36
2010,79,36,35,1,0,0,0,37
2010,80,1,0,1,0,0,0,2
2010,81,12,5,7,0,0,0,19
2010,82,22,20,2,0,0,0,24
2010,83,34,30,4,0,0,0,38
2010,84,33,28,5,0,0,0,38
2010,85,29,29,0,0,0,0,29
2010,86,13,7,6,0,0,0,19
2010,87,34,31,3,0,0,0,37
2010,88,38,30,8,0,0,0,46
2010,89,40,32,8,0,0,0,48
2010,90,31,27,4,0,0,0,35
2010,91,34,32,2,0,0,0,36
2010,92,27,20,7,0,0,0,34
2010,93,30,28,2,0,0,0,32
2010,94,14,14,0,0,0,0,14
2010,95,29,21,8,0,0,0,37
2010,96,25,20,5,0,0,0,30
2010,97,26,21,5,0,0,0,31
2010,98,10,9,1,0,0,0,11
2010,99,28,23,5,0,0,0,33
2010,100,25,23,2,0,0,0,27
2010,101,21,17,4,0,0,0,25
2010,102,5,5,0,0,0,0,5
2010,103,7,3,4,0,0,0,11
2010,104,4,3,1,0,0,0,5
2011,1,15,13,2,0,0,0,17
2011,2,23,14,9,0,0,0,32
2011,3,23,20,3,0,0,0,26
2011,4,11,7,4,0,0,0,15
2011,5,33,31,2,0,0,0,35
2011,6,8,7,1,0,0,0,9
2011,7,31,26,5,0,0,0,36
2011,8,9,5,4,0,0,0,13
2011,9,24,15,9,0,0,0,33
2011,10,16,10,6,0,0,0,22
2011,11,30,29,1,0,0,0,31
2011,12,23,18,5,0,0,0,28
2011,13,28,27,1,0,0,0,29
2011,14,20,16,4,0,0,0,24
2011,15,22,22,0,0,0,0,22
2011,16,19,18,1,0,0,0,20
2011,17,26,25,1,0,0,0,27
2011,18,12,11,1,0,0,0,13
2011,19,35,35,0,0,0,0,35
2011,20,11,7,4,0,0,0,15
2011,21,29,27,2,0,0,0,31
2011,22,17,13,4,0,0,0,21
2011,23,38,37,1,0,0,0,39
2011,24,0,0,0,0,0,0,0
2011,25,27,25,2,0,0,0,29
2011,26,25,23,2,0,0,0,27
2011,27,37,31,6,0,0,0,43
2011,28,15,10,5,0,0,0,20
2011,29,36,32,4,0,0,0,40
2011,30,41,37,4,0,0,0,45
2011,31,13,11,2,0,0,0,15
2011,32,44,43,1,0,0,0,45
2011,33,4,2,2,0,0,0,6
2011,34,43,39,4,0,0,0,47
2011,35,11,9,2,0,0,0,13
2011,36,45,41,4,0,0,0,49
2011,37,16,12,4,0,0,0,20
2011,38,46,42,4,0,0,0,50
2011,39,1,0,1,0,0,0,2
2011,40,38,33,5,0,0,0,43
2011,41,3,2,1,0,0,0,4
2011,42,13,8,5,0,0,0,18
2011,43,7,5,2,0,0,0,9
2011,44,23,23,0,0,0,0,23
2011,45,16,15,1,0,0,0,17
2011,46,10,6,4,0,0,0,14
2011,47,0,0,0,0,0,0,0
2011,48,9,5,4,0,0,0,13
2011,49,3,3,0,0,0,0,3
2011,50,8,3,5,0,0,0,13
2011,51,4,1,3,0,0,0,7
2011,52,12,9,3,0,0,0,15
2011,53,1,1,0,0,0,0,1
2011,54,10,4,6,0,0,0,16
2011,55,10,7,3,0,0,0,13
2011,56,20,17,3,0,0,0,23
2011,57,1,1,0,0,0,0,1
2011,58,21,16,5,0,0,0,26
2011,59,10,9,1,0,0,0,11
2011,60,9,4,5,0,0,0,14
2011,61,0,0,0,0,0,0,0
2011,62,26,22,4,0,0,1,30
2011,63,23,19,4,0,0,0,27
2011,64,35,25,10,0,0,0,45
2011,65,8,4,4,0,0,0,12
2011,66,43,34,9,0,0,0,52
2011,67,14,8,6,0,0,0,20
2011,68,52,48,4,0,0,2,56
2011,69,4,4,0,0,0,0,4
2011,70,30,27,3,0,0,0,33
2011,71,1,1,0,0,0,0,1
2011,72,34,24,10,0,0,0,44
2011,73,58,49,9,0,0,1,67
2011,74,40,32,8,0,0,0,48
2011,75,64,55,9,0,0,0,73
2011,76,28,20,8,0,0,0,36
2011,77,58,54,4,0,0,0,62
2011,78,38,36,2,0,0,0,40
2011,79,57,52,5,0,0,0,62
2011,80,4,3,1,0,0,0,5
2011,81,29,19,10,0,0,1,39
2011,82,32,19,13,0,0,0,45
2011,83,69,68,1,0,0,0,70
2011,84,33,30,3,0,0,0,36
2011,85,73,68,5,0,0,0,78
2011,86,31,27,4,0,0,0,35
2011,87,62,60,2,0,0,0,64
2011,88,15,5,10,0,0,1,25
2011,89,27,21,6,0,0,0,33
2011,90,55,51,4,0,0,0,59
2011,91,0,0,0,0,0,0,0
2011,92,31,24,7,0,0,0,38
2011,93,29,18,11,0,0,0,40
2011,94,56,55,1,0,0,0,57
2011,95,18,11,7,0,0,0,25
2011,96,60,55,5,0,0,0,65
2011,97,24,20,4,0,0,0,28
2011,98,66,63,3,0,0,0,69
2011,99,16,11,5,0,0,1,21
2011,100,61,57,4,0,0,0,65
2011,101,13,9,4,0,0,0,17
2011,102,14,13,1,0,0,0,15
2011,103,64,61,3,0,0,0,67
2011,104,8,4,4,0,0,0,12
2011,105,33,28,5,0,0,0,38
2011,106,8,7,1,0,0,0,9
2011,107,10,2,8,0,0,0,18
2012,1,9,6,3,0,0,0,12
2012,2,10,9,1,0,0,0,11
2012,3,4,3,1,0,0,0,5
2012,4,12,4,8,0,0,0,20
2012,5,43,32,11,0,0,0,54
2012,6,6,3,3,0,0,0,9
2012,7,57,48,9,0,0,0,66
2012,8,8,3,5,0,0,0,13
2012,9,59,46,13,0,0,1,72
2012,10,22,5,17,0,0,0,39
2012,11,55,36,19,0,0,0,74
2012,12,13,5,8,0,0,0,21
2012,13,37,25,12,0,0,0,49
2012,14,20,8,12,0,0,0,32
2012,15,13,4,9,0,0,0,22
2012,16,14,6,8,0,0,0,22
2012,17,54,31,23,0,0,0,77
2012,18,15,2,13,0,0,0,28
2012,19,15,4,11,0,0,0,26
2012,20,63,33,30,0,0,1,93
2012,21,33,13,20,0,0,0,53
2012,22,70,39,31,0,0,0,101
2012,23,8,0,8,0,0,0,16
2012,24,16,2,14,0,0,0,30
2012,25,77,44,33,0,0,0,110
2012,26,5,0,5,0,0,0,10
2012,27,11,2,9,0,0,0,20
2012,28,74,35,39,0,0,0,113
2012,29,15,7,8,0,0,0,23
2012,30,23,8,15,0,0,0,38
2012,31,79,44,35,0,0,0,114
2012,32,6,1,5,0,0,0,11
2012,33,7,1,6,0,0,0,13
2012,34,78,49,29,0,0,0,107
2012,35,7,2,5,0,0,0,12
2012,36,15,7,8,0,0,0,23
2012,37,72,44,28,0,0,0,100
2012,38,51,44,7,0,0,0,58
2012,39,67,35,32,0,0,0,99
2012,40,7,1,6,0,0,0,13
2012,41,14,4,10,0,0,0,24
2012,42,80,46,34,0,0,0,114
2012,43,15,6,9,0,0,0,24
2012,44,81,51,30,0,0,0,111
2012,45,13,3,10,0,0,0,23
2012,46,50,40,10,0,0,0,60
2012,47,72,43,29,0,0,0,101
2012,48,10,5,5,0,0,0,15
2012,49,2,1,1,0,0,0,3
2012,50,64,31,33,0,0,0,97
2012,51,3,0,3,0,0,0,6
2012,52,9,2,7,0,0,0,16
2012,53,30,6,24,0,0,0,54
2012,54,1,0,1,0,0,0,2
2012,55,3,1,2,0,0,0,5
2012,56,37,16,21,0,0,0,58
2012,57,15,4,11,0,0,0,26
2012,58,20,4,16,0,0,0,36
2012,59,11,3,8,0,0,0,19
2012,60,27,6,21,0,0,0,48
2012,61,12,0,12,0,0,0,24
2012,62,12,3,9,0,0,0,21
2012,63,23,4,19,0,0,0,42
2012,64,4,0,4,0,0,0,8
2012,65,21,4,17,0,0,0,38
2012,66,0,0,0,0,0,0,0
2012,67,18,7,11,0,0,0,29
2012,68,18,2,16,0,0,0,34
2012,69,0,0,0,0,0,0,0
2012,70,0,0,0,0,0,0,0
2012,71,14,4,10,0,0,0,24
2012,72,3,0,3,0,0,0,6
2012,73,18,9,9,0,0,0,27
2012,74,0,0,0,0,0,0,0
2012,75,8,0,8,0,0,0,16
2012,76,0,0,0,0,0,0,0
2012,77,20,4,16,0,0,0,36
2012,78,26,8,18,0,0,0,44
2012,79,0,0,0,0,0,0,0
2012,80,8,2,6,0,0,0,14
2012,81,28,11,17,0,0,0,45
2012,82,2,0,2,0,0,0,4
2012,83,12,7,5,0,0,0,17
2012,84,46,24,22,0,0,0,68
2012,85,27,9,18,0,0,0,45
2012,86,58,40,18,0,0,0,76
