year,rounds_scanned,rounds_failed,total_matches,matches_without_changes,matches_with_one_change,matches_with_multiple_changes,unknown_results,malformed_matches,total_snapshots
2010,104,0,1912,1537,375,0,0,1,2287
2011,107,0,2689,2285,404,0,0,7,3093
2012,111,0,3915,1991,1924,0,0,2,5839
2013,103,0,3952,2984,826,142,0,4,5096
2014,104,0,3976,2610,1005,361,0,0,5903
2015,102,0,4200,2875,923,402,0,0,6071
2016,105,0,4203,3033,682,488,0,0,6135
2017,95,0,3607,2814,512,281,0,0,4805
2018,100,0,3472,2829,510,133,0,0,4292
2019,103,0,3516,2970,411,135,0,0,4235
2020,92,0,3628,2619,843,166,0,0,4859
2021,103,0,4978,2714,1983,281,0,1,7571
2022,108,0,4761,2795,1630,336,0,0,7147
2023,153,0,5315,3563,1427,325,0,0,7447
2024,157,0,6372,4116,1773,483,0,0,9229
2025,154,0,6529,2968,2577,984,0,0,11430
2026,93,0,3132,1301,1415,416,0,0,5499
