source_year,source_round,source_match_id,source_schedule_id,starts_at,home_team,away_team,result,sequence,observed_at,home,draw,away
2026,80,6277,476710,2026-07-10 05:00:00,프랑스,모로코,HOME,0,,1.49,3.7,5.9
2026,80,6277,476710,2026-07-10 05:00:00,프랑스,모로코,HOME,1,,1.48,3.85,5.7
2026,79,5751,476706,2026-07-07 04:00:00,포르투갈,스페인,AWAY,0,,3.6,3.45,1.84
2026,79,5751,476706,2026-07-07 04:00:00,포르투갈,스페인,AWAY,1,,3.85,3.4,1.79
2026,79,5895,476708,2026-07-08 01:00:00,아르헨티,이집트,HOME,0,,1.37,3.95,7.8
2026,79,5895,476708,2026-07-08 01:00:00,아르헨티,이집트,HOME,1,,1.32,4.3,8.3
2026,78,4992,476178,2026-07-03 12:00:00,스위스,알제리,HOME,0,,1.95,3.15,3.55
2026,78,4992,476178,2026-07-03 12:00:00,스위스,알제리,HOME,1,,1.89,3.15,3.8
2026,78,4992,476178,2026-07-03 12:00:00,스위스,알제리,HOME,2,,1.86,3.15,3.9
2026,78,4992,476178,2026-07-03 12:00:00,스위스,알제리,HOME,3,,1.81,3.25,4.0
2026,78,5114,476186,2026-07-04 03:00:00,호주,이집트,DRAW,0,,3.1,2.8,2.32
2026,78,5114,476186,2026-07-04 03:00:00,호주,이집트,DRAW,1,,3.25,2.8,2.24
2026,78,5190,476188,2026-07-04 10:30:00,콜롬비아,가나,HOME,0,,1.4,3.7,7.9
2026,78,5190,476188,2026-07-04 10:30:00,콜롬비아,가나,HOME,1,,1.36,4.2,7.3
2026,78,5300,464913,2026-07-04 19:30:00,전북현대,강원FC,AWAY,0,,2.1,2.85,3.1
2026,78,5300,464913,2026-07-04 19:30:00,전북현대,강원FC,AWAY,1,,2.18,2.85,2.95
2026,78,5300,464913,2026-07-04 19:30:00,전북현대,강원FC,AWAY,2,,2.3,2.85,2.75
2026,78,5308,464912,2026-07-04 19:30:00,대전하나,부천FC,DRAW,0,,1.67,3.15,4.3
2026,78,5308,464912,2026-07-04 19:30:00,대전하나,부천FC,DRAW,1,,1.71,3.0,4.3
2026,78,5308,464912,2026-07-04 19:30:00,대전하나,부천FC,DRAW,2,,1.64,3.0,4.85
2026,78,5316,464911,2026-07-04 19:30:00,FC안양,포항스틸,AWAY,0,,2.75,2.85,2.3
2026,78,5316,464911,2026-07-04 19:30:00,FC안양,포항스틸,AWAY,1,,2.75,2.75,2.37
2026,78,5324,468227,2026-07-04 19:30:00,충북청주,대구FC,AWAY,0,,4.1,3.35,1.65
2026,78,5324,468227,2026-07-04 19:30:00,충북청주,대구FC,AWAY,1,,4.2,3.5,1.6
