source_year,source_round,source_match_id,source_schedule_id,starts_at,home_team,away_team,result,sequence,observed_at,home,draw,away
2010,1,10,23626,2010-01-03 06:00:00,AT마드,세비야,HOME,0,,2.35,3.05,2.3
2010,1,10,23626,2010-01-03 06:00:00,AT마드,세비야,HOME,1,,2.45,3.05,2.2
2010,1,23,23629,2010-01-04 01:00:00,헤타페,바야돌리,HOME,0,,1.55,3.3,4.1
2010,1,23,23629,2010-01-04 01:00:00,헤타페,바야돌리,HOME,1,,1.5,3.4,4.4
2010,1,26,23632,2010-01-04 01:00:00,사라고사,데포라코,DRAW,0,,2.35,2.95,2.35
2010,1,26,23632,2010-01-04 01:00:00,사라고사,데포라코,DRAW,1,,2.5,3.0,2.2
2010,2,3,23658,2010-01-06 20:30:00,키에보,인테르,AWAY,0,,3.65,3.05,1.7
2010,2,3,23658,2010-01-06 20:30:00,키에보,인테르,AWAY,1,,3.85,3.15,1.63
2010,2,4,23717,2010-01-06 20:30:00,태국,요르단,DRAW,0,,1.85,3.05,3.1
2010,2,4,23717,2010-01-06 20:30:00,태국,요르단,DRAW,1,,1.75,3.15,3.3
2010,2,6,23719,2010-01-06 20:30:00,중국,시리아,DRAW,0,,1.75,3.15,3.3
2010,2,6,23719,2010-01-06 20:30:00,중국,시리아,DRAW,1,,1.67,3.25,3.5
2010,2,11,23662,2010-01-06 23:00:00,FC 바리,우디네세,HOME,0,,1.85,3.05,3.1
2010,2,11,23662,2010-01-06 23:00:00,FC 바리,우디네세,HOME,1,,1.78,3.1,3.25
2010,2,12,23663,2010-01-06 23:00:00,칼리아리,AS로마,DRAW,0,,2.55,2.9,2.2
2010,2,12,23663,2010-01-06 23:00:00,칼리아리,AS로마,DRAW,1,,2.65,2.95,2.1
2010,2,17,23666,2010-01-06 23:00:00,시에나,피오렌티,AWAY,0,,2.9,2.9,2.0
2010,2,17,23666,2010-01-06 23:00:00,시에나,피오렌티,AWAY,1,,3.0,2.95,1.93
2010,3,27,23674,2010-01-10 23:00:00,볼로냐,칼리아리,AWAY,0,,2.3,2.9,2.45
2010,3,27,23674,2010-01-10 23:00:00,볼로냐,칼리아리,AWAY,1,,2.4,2.95,2.3
2010,3,31,23670,2010-01-10 23:00:00,나폴리,삼프도리,HOME,0,,1.6,3.15,4.0
2010,3,31,23670,2010-01-10 23:00:00,나폴리,삼프도리,HOME,1,,1.55,3.2,4.3
2010,4,6,23868,2010-01-14 06:00:00,세비야,바르셀로,AWAY,0,,3.25,3.15,1.77
2010,4,6,23868,2010-01-14 06:00:00,세비야,바르셀로,AWAY,1,,3.45,3.2,1.7
2010,4,23,23885,2010-01-15 05:00:00,블랙번,A빌라,AWAY,0,,2.85,2.95,2.0
2010,4,23,23885,2010-01-15 05:00:00,블랙번,A빌라,AWAY,1,,3.0,3.0,1.9
2010,5,10,23955,2010-01-17 02:00:00,칼리아리,리보르노,HOME,0,,1.55,3.15,4.4
2010,5,10,23955,2010-01-17 02:00:00,칼리아리,리보르노,HOME,1,,1.5,3.25,4.6
2010,5,12,23934,2010-01-17 02:30:00,에버턴,맨체스C,HOME,0,,2.35,3.05,2.3
2010,5,12,23934,2010-01-17 02:30:00,에버턴,맨체스C,HOME,1,,2.45,3.1,2.17
2010,5,13,23946,2010-01-17 04:00:00,빌바오,레알마드,HOME,0,,4.4,3.35,1.5
2010,5,13,23946,2010-01-17 04:00:00,빌바오,레알마드,HOME,1,,4.8,3.4,1.45
2010,5,14,23956,2010-01-17 04:45:00,FC 바리,인테르,DRAW,0,,3.8,3.05,1.67
2010,5,14,23956,2010-01-17 04:45:00,FC 바리,인테르,DRAW,1,,3.95,3.1,1.63
2010,5,36,23949,2010-01-18 01:00:00,라싱산탄,바야돌리,DRAW,0,,1.73,3.15,3.4
2010,5,36,23949,2010-01-18 01:00:00,라싱산탄,바야돌리,DRAW,1,,1.65,3.25,3.6
2010,6,6,24037,2010-01-21 04:00:00,마요르카,헤타페,AWAY,0,,1.55,3.45,3.9
2010,6,6,24037,2010-01-21 04:00:00,마요르카,헤타페,AWAY,1,,1.5,3.55,4.1
2010,6,9,24039,2010-01-21 05:00:00,리버풀,토트넘,HOME,0,,2.0,3.05,2.75
2010,6,9,24039,2010-01-21 05:00:00,리버풀,토트넘,HOME,1,,2.03,3.05,2.7
2010,7,6,24166,2010-01-24 00:00:00,에버턴,버밍엄C,AWAY,0,,1.75,3.15,3.3
2010,7,6,24166,2010-01-24 00:00:00,에버턴,버밍엄C,AWAY,1,,1.67,3.25,3.5
2010,7,28,23973,2010-01-24 23:00:00,리보르노,나폴리,AWAY,0,,2.6,2.85,2.2
2010,7,28,23973,2010-01-24 23:00:00,리보르노,나폴리,AWAY,1,,2.7,2.9,2.1
2010,7,30,23970,2010-01-24 23:00:00,시에나,칼리아리,DRAW,0,,2.6,2.95,2.15
2010,7,30,23970,2010-01-24 23:00:00,시에나,칼리아리,DRAW,1,,2.7,3.0,2.05
2010,7,33,24084,2010-01-25 01:00:00,테네리페,발렌시아,DRAW,0,,3.9,3.25,1.6
2010,7,33,24084,2010-01-25 01:00:00,테네리페,발렌시아,DRAW,1,,4.4,3.3,1.52
2010,8,3,24095,2010-01-28 04:45:00,A빌라,아스널,DRAW,0,,2.65,3.05,2.05
2010,8,3,24095,2010-01-28 04:45:00,A빌라,아스널,DRAW,1,,2.8,3.1,1.95
2010,8,24,24212,2010-01-29 04:00:00,헤타페,마요르카,AWAY,0,,1.77,3.15,3.25
2010,8,24,24212,2010-01-29 04:00:00,헤타페,마요르카,AWAY,1,,1.72,3.2,3.35
2010,8,25,24213,2010-01-29 04:45:00,인테르,유벤투스,HOME,0,,1.65,3.2,3.65
2010,8,25,24213,2010-01-29 04:45:00,인테르,유벤투스,HOME,1,,1.6,3.3,3.8
2010,9,1,24254,2010-01-31 00:00:00,버밍엄C,토트넘,DRAW,0,,2.5,3.0,2.2
2010,9,1,24254,2010-01-31 00:00:00,버밍엄C,토트넘,DRAW,1,,2.6,3.0,2.12
2010,9,3,24298,2010-01-31 00:00:00,헐시티,울버햄튼,DRAW,0,,1.9,3.05,2.95
2010,9,3,24298,2010-01-31 00:00:00,헐시티,울버햄튼,DRAW,1,,1.82,3.1,3.15
2010,9,5,24299,2010-01-31 00:00:00,웨스트햄,블랙번,DRAW,0,,1.78,3.15,3.2
2010,9,5,24299,2010-01-31 00:00:00,웨스트햄,블랙번,DRAW,1,,1.7,3.25,3.4
2010,9,6,24257,2010-01-31 00:00:00,위건,에버턴,AWAY,0,,2.65,2.95,2.1
2010,9,6,24257,2010-01-31 00:00:00,위건,에버턴,AWAY,1,,2.8,3.0,2.0
2010,9,12,24260,2010-01-31 06:00:00,데포라코,레알마드,AWAY,0,,2.65,3.05,2.05
2010,9,12,24260,2010-01-31 06:00:00,데포라코,레알마드,AWAY,1,,2.75,3.15,1.97
2010,9,20,23979,2010-01-31 23:00:00,칼리아리,피오렌티,DRAW,0,,2.25,2.95,2.45
2010,9,20,23979,2010-01-31 23:00:00,칼리아리,피오렌티,DRAW,1,,2.15,3.0,2.55
2010,11,8,24315,2010-02-07 00:00:00,헐시티,맨체스C,HOME,0,,3.85,3.2,1.62
2010,11,8,24315,2010-02-07 00:00:00,헐시티,맨체스C,HOME,1,,4.0,3.3,1.57
2010,11,16,24331,2010-02-07 04:45:00,리보르노,유벤투스,DRAW,0,,3.3,2.9,1.85
2010,11,16,24331,2010-02-07 04:45:00,리보르노,유벤투스,DRAW,1,,3.5,3.0,1.75
2010,11,32,24318,2010-02-07 22:30:00,버밍엄C,울버햄튼,HOME,0,,1.6,3.2,3.95
2010,11,32,24318,2010-02-07 22:30:00,버밍엄C,울버햄튼,HOME,1,,1.55,3.3,4.1
2010,11,34,24332,2010-02-07 23:00:00,볼로냐,AC밀란,DRAW,0,,3.9,3.05,1.65
2010,11,34,24332,2010-02-07 23:00:00,볼로냐,AC밀란,DRAW,1,,4.2,3.15,1.58
2010,11,38,24337,2010-02-07 23:00:00,시에나,삼프도리,AWAY,0,,2.4,2.85,2.35
2010,11,38,24337,2010-02-07 23:00:00,시에나,삼프도리,AWAY,1,,2.45,2.95,2.25
2010,12,4,24451,2010-02-11 04:45:00,아스널,리버풀,HOME,0,,1.8,3.1,3.2
2010,12,4,24451,2010-02-11 04:45:00,아스널,리버풀,HOME,1,,1.75,3.15,3.3
2010,12,5,24452,2010-02-11 04:45:00,A빌라,맨체스U,DRAW,0,,3.5,3.0,1.75
2010,12,5,24452,2010-02-11 04:45:00,A빌라,맨체스U,DRAW,1,,3.8,3.1,1.65
2010,12,7,24454,2010-02-11 04:45:00,울버햄튼,토트넘,HOME,0,,3.6,3.15,1.68
2010,12,7,24454,2010-02-11 04:45:00,울버햄튼,토트넘,HOME,1,,3.9,3.25,1.6
2010,12,8,24455,2010-02-11 04:45:00,파르마,인테르,DRAW,0,,4.2,3.05,1.6
2010,12,8,24455,2010-02-11 04:45:00,파르마,인테르,DRAW,1,,4.5,3.15,1.53
2010,12,10,24457,2010-02-11 05:00:00,에버턴,첼시,HOME,0,,3.95,3.2,1.6
2010,12,10,24457,2010-02-11 05:00:00,에버턴,첼시,HOME,1,,4.3,3.3,1.53
2010,13,3,24589,2010-02-14 22:30:00,볼턴,토트넘,DRAW,0,,2.95,3.05,1.9
2010,13,3,24589,2010-02-14 22:30:00,볼턴,토트넘,DRAW,1,,3.15,3.15,1.8
2010,13,5,24510,2010-02-14 02:00:00,S히혼,발렌시아,DRAW,0,,3.8,3.3,1.6
2010,13,5,24510,2010-02-14 02:00:00,S히혼,발렌시아,DRAW,1,,4.0,3.4,1.55
2010,13,8,24522,2010-02-14 04:45:00,삼프도리,피오렌티,HOME,0,,2.05,2.9,2.8
2010,13,8,24522,2010-02-14 04:45:00,삼프도리,피오렌티,HOME,1,,1.95,3.0,2.9
2010,13,14,24528,2010-02-14 23:00:00,칼리아리,FC 바리,HOME,0,,1.55,3.25,4.2
2010,13,14,24528,2010-02-14 23:00:00,칼리아리,FC 바리,HOME,1,,1.5,3.3,4.5
2010,13,16,24526,2010-02-14 23:00:00,키에보,시에나,AWAY,0,,1.55,3.2,4.3
2010,13,16,24526,2010-02-14 23:00:00,키에보,시에나,AWAY,1,,1.5,3.3,4.5
2010,13,19,24525,2010-02-14 23:00:00,파르마,라치오,AWAY,0,,2.1,2.8,2.8
2010,13,19,24525,2010-02-14 23:00:00,파르마,라치오,AWAY,1,,2.0,2.85,2.95
2010,14,4,24533,2010-02-18 04:45:00,포르투,아스널,HOME,0,,2.4,2.95,2.3
2010,14,4,24533,2010-02-18 04:45:00,포르투,아스널,HOME,1,,2.3,3.05,2.35
2010,14,20,24538,2010-02-19 03:00:00,아약스,유벤투스,AWAY,0,,2.35,2.95,2.35
2010,14,20,24538,2010-02-19 03:00:00,아약스,유벤투스,AWAY,1,,2.25,2.95,2.45
2010,14,22,24544,2010-02-19 03:00:00,비야레알,볼프스부,DRAW,0,,1.67,3.2,3.6
2010,14,22,24544,2010-02-19 03:00:00,비야레알,볼프스부,DRAW,1,,1.62,3.3,3.7
2010,14,23,24542,2010-02-19 03:00:00,S리에주,잘츠부르,HOME,0,,1.93,3.05,2.9
2010,14,23,24542,2010-02-19 03:00:00,S리에주,잘츠부르,HOME,1,,2.0,3.05,2.75
2010,14,25,24540,2010-02-19 03:00:00,릴OSC,페네르SK,HOME,0,,1.78,3.15,3.2
2010,14,25,24540,2010-02-19 03:00:00,릴OSC,페네르SK,HOME,1,,1.7,3.25,3.4
2010,14,28,24552,2010-02-19 05:05:00,파나티나,AS로마,HOME,0,,2.6,2.95,2.15
2010,14,28,24552,2010-02-19 05:05:00,파나티나,AS로마,HOME,1,,2.7,3.0,2.05
2010,14,33,24550,2010-02-19 05:05:00,H베를린,SL벤피카,DRAW,0,,2.85,3.05,1.95
2010,14,33,24550,2010-02-19 05:05:00,H베를린,SL벤피카,DRAW,1,,3.05,3.1,1.85
2010,15,4,24498,2010-02-20 21:45:00,에버턴,맨체스U,HOME,0,,3.6,3.1,1.7
2010,15,4,24498,2010-02-20 21:45:00,에버턴,맨체스U,HOME,1,,4.0,3.15,1.6
2010,15,24,24784,2010-02-21 23:00:00,칼리아리,파르마,HOME,0,,1.58,3.25,4.0
2010,15,24,24784,2010-02-21 23:00:00,칼리아리,파르마,HOME,1,,1.5,3.3,4.5
